,name,class,subclass
1289,腐乳(香辣味),：调味品类,：腐乳
1290,腐乳[酱豆腐](白，王致和牌),：调味品类,：腐乳
1291,萝卜干,：调味品类,：咸菜类
1292,榨菜,：调味品类,：咸菜类
1293,蕨菜(腌),：调味品类,：咸菜类
1294,腌雪里红,：调味品类,：咸菜类
1295,剁辣椒,：调味品类,：咸菜类
1296,酱八宝菜,：调味品类,：咸菜类
1297,麻仁金丝,：调味品类,：咸菜类
1298,腌大头菜,：调味品类,：咸菜类
1299,腌芥菜头,：调味品类,：咸菜类
1300,腌韭菜花,：调味品类,：咸菜类
1301,腌萝卜条,：调味品类,：咸菜类
1302,榨菜(鱼泉牌),：调味品类,：咸菜类
1303,榨菜(正林牌),：调味品类,：咸菜类
1304,胡椒粉,：调味品类,：辛香料
1305,五香粉,：调味品类,：辛香料
1306,精盐,：调味品类,：盐、味精及其它
1307,味精,：调味品类,：盐、味精及其它
1308,鸡精,：调味品类,：盐、味精及其它
1309,酵母(鲜),：调味品类,：盐、味精及其它
1310,酵母(干),：调味品类,：盐、味精及其它
1311,料酒,：料酒王,味品类
1312,枸杞子,：其它,：
1313,五香豆豉,：调味品类,：酱
1314,包子(三鲜馅),：速食食品,：方便食品
1315,酥香兰花豆,：速食食品,：休闲食品
1316,酱排骨,：无锡酱排骨。,肉类及制品
1317,橙汁饮料(光明牌),：饮料类,：果汁及果汁饮料
1318,橙汁饮料(三得利牌),：饮料类,：果汁及果汁饮料
1319,荔枝(干),：水果类及制品,：热带、亚热带水果
1320,黄麻叶(鲜),：蔬菜类及制品,：野生蔬菜类
1321,咖喱粉,：调味品类,：辛香料
1322,老抽,：金标老抽。,味品类
1323,鸡蛋黄粉,：蛋类及制品,：鸡蛋
1324,花椒,：调味品类,：辛香料
1325,咖啡豆,：饮料类,：固体饮料
1326,咖啡粉,：饮料类,：固体饮料
1327,鱼排,：鱼虾蟹贝类,：鱼
1328,崇明老白酒,：含酒精饮料,：蒸馏酒
1329,低度汉酒(37.2度),：含酒精饮料,：蒸馏酒
1330,甘州大曲,：含酒精饮料,：蒸馏酒
1331,汉口白酒(49.6度),：含酒精饮料,：蒸馏酒
1332,汉口小麦酒(40.7度),：含酒精饮料,：蒸馏酒
1333,黄鹤楼酒(39度),：含酒精饮料,：蒸馏酒
1334,精制小麦酒,：含酒精饮料,：蒸馏酒
1335,景泰大曲,：含酒精饮料,：蒸馏酒
1336,景泰二曲,：含酒精饮料,：蒸馏酒
1337,酒泉酒,：含酒精饮料,：蒸馏酒
1338,凉洲曲酒,：含酒精饮料,：蒸馏酒
1339,宁河大曲,：含酒精饮料,：蒸馏酒
1340,宁河二曲,：含酒精饮料,：蒸馏酒
1341,三粮小麦(55度),：含酒精饮料,：蒸馏酒
